Number of clusters,Silhouette_mean,Silhouette_std,DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,Consensus
2,0.5229999145352044,1.1102230246251565e-16,1.2842495239930878,0.0,1.0,0.0,0.6641975308641975
3,0.3356125567200005,0.0,1.674285003887593,7.105427357601002e-16,1.0,0.0,0.37530864197530867
4,0.3197670365324917,3.3431090736662886e-05,1.5929675865464232,0.0031315239923472194,0.9847791281485314,0.017185545120576618,0.24893827160493825
5,0.27375790513487136,0.0,1.764212657305593,2.220446049250313e-16,1.0,0.0,0.19598765432098766
6,0.2808575080079524,0.0034309754494427063,1.640533387791434,0.013873150722983646,0.975468904305502,0.020096012661492208,0.17282716049382718
7,0.25224980549844717,0.0038501819289547042,1.7807487933747521,0.02779297029568414,0.856418238120788,0.09276228544730543,0.14487037037037037
8,0.229257016513618,0.006104673110984774,1.7136469040033964,0.027061269560181393,0.8590954351317339,0.06746810039871234,0.12394444444444445
9,0.23159232948116204,0.009552418362496807,1.6889109989365836,0.03096124564310362,0.8152888619698689,0.08984618005542146,0.1073858024691358
10,0.23005719716069276,0.009049810522724324,1.6599286527288513,0.03274720371080381,0.822313475120522,0.0844704434087408,0.0975246913580247
11,0.2152079433741277,0.01579517554064432,1.6150772238471396,0.04032030781302772,0.7769252132265436,0.08528000010729254,0.09036111111111113
12,0.21399062010434075,0.014558410528630902,1.6129135259089782,0.04148543309526903,0.7605675916708472,0.0809788002011088,0.08363271604938273
13,0.21637085946168372,0.018586204303320645,1.5760457199447655,0.05800124711185836,0.6917787091725083,0.08885272308122028,0.07801543209876544
14,0.20857141887664887,0.01897976124846542,1.5465322898836364,0.07971674896862185,0.6933178975003064,0.08327369457316984,0.07503395061728395
