Number of clusters,Silhouette_mean,Silhouette_std,DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,Consensus
2,0.5369784413743716,1.1102230246251565e-16,1.1812961296605144,0.0,1.0,0.0,0.7104938271604938
3,0.35387071899986433,0.0,1.6015618057359102,0.0,1.0,0.0,0.37808641975308643
4,0.3161044050191462,5.551115123125783e-17,1.556350557317387,0.0,1.0,0.0,0.25679012345679014
5,0.2693366695962761,0.0,1.7562401896415678,0.0,1.0,0.0,0.1935185185185185
6,0.2773502433640489,0.0008248075856003343,1.6499182889385162,0.003777958167796847,0.9944079577826396,0.013421612017206366,0.16868518518518516
7,0.23534438050103326,0.002466881697823242,1.7959311465638423,0.016569121446929902,0.9372362844736065,0.050021987639166925,0.13570370370370372
8,0.22503728978567317,0.0003692178596351258,1.7862882767265496,0.00047247549659163704,0.9970379004692557,0.008258677884587822,0.11606790123456791
9,0.21935854991146062,0.003712444485063807,1.722586052063091,0.015200187627523001,0.9169053505272802,0.062124908465323335,0.10626851851851853
10,0.19152915330356027,0.011058797189139286,1.6457012915096738,0.03397812673193841,0.7772479962508264,0.09755445432180976,0.09761419753086419
11,0.20542930709122495,0.0122809900812931,1.6251002381121018,0.04876867094046025,0.7691955194756425,0.08596526325351053,0.09053395061728396
12,0.21120926148587757,0.007865486082056573,1.6108250488231488,0.024302196561064613,0.8384928630676175,0.0643815886787939,0.08361111111111111
13,0.20730059181110788,0.010376234759435363,1.6186344556162342,0.03032176782684755,0.7931546043532203,0.09165651972753877,0.07390123456790124
14,0.1940595866319999,0.008154925607188184,1.6322034206092524,0.035212314174478926,0.911998598704461,0.055331662649189456,0.06459876543209878
